"po_id","supplier_id","po_date","promised_delivery_date","item_category","order_qty","unit_cost_cad"
PO-2026-001,SUP-001,"2026-01-05","2026-01-20",Valves & Fittings,500,120.0
PO-2026-002,SUP-002,"2026-01-08","2026-01-25",Structural Steel,1200,85.5
PO-2026-003,SUP-003,"2026-01-10","2026-02-01",Chemical Polymers,3000,45.0
PO-2026-004,SUP-004,"2026-01-12","2026-02-05",Piping Systems,800,210.0
PO-2026-005,SUP-005,"2026-01-15","2026-02-20",Heavy Machinery,15,12500.0
PO-2026-006,SUP-001,"2026-01-20","2026-02-10",Valves & Fittings,750,118.0
PO-2026-007,SUP-002,"2026-01-22","2026-02-08",Structural Steel,2000,82.0
PO-2026-008,SUP-004,"2026-02-01","2026-02-25",Piping Systems,600,215.0
PO-2026-009,SUP-003,"2026-02-05","2026-02-28",Chemical Polymers,4000,42.5
PO-2026-010,SUP-005,"2026-02-10","2026-03-15",Heavy Machinery,10,12800.0
