"shipment_id","po_id","carrier_id","destination_id","ship_date","actual_delivery_date","shipped_qty","weight_tons","distance_miles","freight_cost_cad"
SHP-9001,PO-2026-001,CAR-102,DEST-01,"2026-01-15","2026-01-19",500,12.5,450,2200.0
SHP-9002,PO-2026-002,CAR-101,DEST-02,"2026-01-18","2026-01-28",1200,48.0,620,5800.0
SHP-9003,PO-2026-003,CAR-103,DEST-03,"2026-01-20","2026-02-01",2800,30.0,1100,7400.0
SHP-9004,PO-2026-004,CAR-102,DEST-01,"2026-01-25","2026-02-04",800,22.0,850,4100.0
SHP-9005,PO-2026-005,CAR-104,DEST-03,"2026-01-22","2026-02-26",15,65.0,5200,28500.0
SHP-9006,PO-2026-006,CAR-105,DEST-02,"2026-02-05","2026-02-08",750,18.0,500,6200.0
SHP-9007,PO-2026-007,CAR-101,DEST-04,"2026-01-28","2026-02-06",2000,80.0,780,8900.0
SHP-9008,PO-2026-008,CAR-103,DEST-01,"2026-02-15","2026-02-27",550,15.0,850,3800.0
SHP-9009,PO-2026-009,CAR-102,DEST-03,"2026-02-18","2026-02-27",4000,40.0,1100,8200.0
SHP-9010,PO-2026-010,CAR-104,DEST-03,"2026-02-18","2026-03-20",10,45.0,5200,24000.0
